#GENE_SYMBOL	ENTREZ_GENE_ID	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	EXOMISER_GENE_COMBINED_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
SLC12A5	57468	0.9021	0.9750	0.9936	0.9021	0.6672	0.3047	0.5136	0.9021	1.0000	0	Epileptic encephalopathy, early infantile, 34 (OMIM:616645): Seizure (HP:0001250)-Status epilepticus (HP:0002133), Spasticity (HP:0001257)-Abnormal pyramidal sign (HP:0007256), Postnatal microcephaly (HP:0005484)-Postnatal microcephaly (HP:0005484), Developmental regression (HP:0002376)-Developmental regression (HP:0002376), 	Seizure (HP:0001250)-tonic-clonic seizures (MP:0003997), Spasticity (HP:0001257)-abnormal brain interneuron morphology (MP:0004101), Postnatal microcephaly (HP:0005484)-postnatal growth retardation (MP:0001732), 	Spasticity (HP:0001257)-abnormal(ly) decreased functionality retinal ganglion cell (ZP:0009131), Postnatal microcephaly (HP:0005484)-abnormal(ly) decreased process quality posterior lateral line neuromast development (ZP:0003447), 	Proximity to NPC2 associated with Niemann-pick disease, type C2 (OMIM:607625): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Spasticity (HP:0001257), 	Proximity to NPC2 Spasticity (HP:0001257)-ataxia (MP:0001393), Postnatal microcephaly (HP:0005484)-Purkinje cell degeneration (MP:0000876), 	
ADGRV1	84059	0.7609	0.9875	0.9756	0.7609	0.6383	0.0000	0.5008	0.7609	1.0000	0	Generalized epilepsy with febrile seizures-plus (ORPHA:36387): Seizure (HP:0001250)-Atonic seizure (HP:0010819), Spasticity (HP:0001257)-Cortical dysplasia (HP:0002539), Postnatal microcephaly (HP:0005484)-Generalized cerebral atrophy/hypoplasia (HP:0007058), Developmental regression (HP:0002376)-Developmental regression (HP:0002376), 	Seizure (HP:0001250)-audiogenic seizures (MP:0001496), Spasticity (HP:0001257)-abnormal hair cell mechanoelectric transduction (MP:0004431), 		Proximity to HCN1 associated with Undetermined early-onset epileptic encephalopathy (ORPHA:442835): Seizure (HP:0001250)-Status epilepticus (HP:0002133), Spasticity (HP:0001257)-Spasticity (HP:0001257), Postnatal microcephaly (HP:0005484)-Microcephaly (HP:0000252), Developmental regression (HP:0002376)-Developmental regression (HP:0002376), 	Proximity to HCN1 Spasticity (HP:0001257)-tremors (MP:0000745), 	
RYR1	6261	0.5158	0.9935	0.7682	0.3314	0.4577	0.0000	0.5158	0.5158	1.0000	0	Autosomal dominant centronuclear myopathy (ORPHA:169189): Spasticity (HP:0001257)-Generalized hypotonia (HP:0001290), Postnatal microcephaly (HP:0005484)-Macrocephaly at birth (HP:0004488), 	Spasticity (HP:0001257)-paralysis (MP:0000753), Postnatal microcephaly (HP:0005484)-fetal growth retardation (MP:0004201), 		Proximity to QDPR associated with Hyperphenylalaninemia, BH4-deficient, C (OMIM:261630): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Hypertonia (HP:0001276), Postnatal microcephaly (HP:0005484)-Microcephaly (HP:0000252), 		
NEB	4703	0.5007	0.9479	0.6505	0.2736	0.3984	0.0000	0.5007	0.5007	1.0000	0	Nemaline myopathy 2, autosomal recessive (OMIM:256030): Spasticity (HP:0001257)-Frequent falls (HP:0002359), 	Spasticity (HP:0001257)-muscle weakness (MP:0000747), Postnatal microcephaly (HP:0005484)-postnatal growth retardation (MP:0001732), 		Proximity to EPCAM associated with Lynch syndrome (ORPHA:144): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Hypertonia (HP:0001276), Developmental regression (HP:0002376)-Developmental regression (HP:0002376), 	Proximity to EPCAM Postnatal microcephaly (HP:0005484)-postnatal growth retardation (MP:0001732), 	
PLEKHM1	9842	0.5002	0.9330	0.6177	0.0000	0.0000	0.0000	0.5002	0.5002	1.0000	0				Proximity to CLCN7 associated with Albers-Schönberg osteopetrosis (ORPHA:53): Spasticity (HP:0001257)-Frontal bossing (HP:0002007), Postnatal microcephaly (HP:0005484)-Macrocephaly (HP:0000256), 	Proximity to CLCN7 Seizure (HP:0001250)-tonic seizures (MP:0002826), Spasticity (HP:0001257)-cerebral cortex pyramidal cell degeneration (MP:0010013), Postnatal microcephaly (HP:0005484)-astrocytosis (MP:0003354), 	
RGPD4	285190	0.5016	0.9205	0.5939	0.0000	0.0000	0.0000	0.5016	0.5016	1.0000	0				Proximity to NUP62 associated with Striatonigral degeneration, infantile (OMIM:271930): Spasticity (HP:0001257)-Spasticity (HP:0001257), Postnatal microcephaly (HP:0005484)-Failure to thrive (HP:0001508), Developmental regression (HP:0002376)-Developmental regression (HP:0002376), 		
LILRB1	10859	0.3978	0.9781	0.4573	0.0000	0.3978	0.0000	0.0000	0.3978	1.0000	0		Spasticity (HP:0001257)-abnormal visual cortex morphology (MP:0000805), Postnatal microcephaly (HP:0005484)-abnormal visual cortex morphology (MP:0000805), 				
FCGR1B	2210	0.5000	0.8531	0.4364	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to FCGR2B associated with Systemic lupus erythematosus, susceptibility to (OMIM:152700): Seizure (HP:0001250)-Seizure (HP:0001250), 	Proximity to FCGR2B Seizure (HP:0001250)-abnormal seizure response to electrical stimulation (MP:0001650), 	
KRTAP10-4	386672	0.5000	0.8465	0.4215	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to MEFV associated with Behçet disease (ORPHA:117): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Hemiparesis (HP:0001269), Developmental regression (HP:0002376)-Developmental regression (HP:0002376), 	Proximity to MEFV Postnatal microcephaly (HP:0005484)-postnatal growth retardation (MP:0001732), 	
OR2M5	127059	0.5000	0.8427	0.4130	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to MEFV associated with Behçet disease (ORPHA:117): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Hemiparesis (HP:0001269), Developmental regression (HP:0002376)-Developmental regression (HP:0002376), 	Proximity to MEFV Postnatal microcephaly (HP:0005484)-postnatal growth retardation (MP:0001732), 	
