#GENE_SYMBOL	ENTREZ_GENE_ID	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	EXOMISER_GENE_COMBINED_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
ABCD1	215	0.9716	1.0000	0.9975	0.9716	0.5148	0.0000	0.5051	0.9716	1.0000	0	Adrenomyeloneuropathy, adult (OMIM:300100): Mental deterioration (HP:0001268)-Dementia (HP:0000726), Seizure (HP:0001250)-Seizure (HP:0001250), Psychosis (HP:0000709)-Psychosis (HP:0000709), Primary adrenal insufficiency (HP:0008207)-Primary adrenal insufficiency (HP:0008207), Neurodegeneration (HP:0002180)-Neurodegeneration (HP:0002180), Abnormality of the cerebral white matter (HP:0002500)-Abnormality of the cerebral white matter (HP:0002500), 	Mental deterioration (HP:0001268)-impaired coordination (MP:0001405), Primary adrenal insufficiency (HP:0008207)-abnormal adrenal cortex morphology (MP:0008288), Neurodegeneration (HP:0002180)-axon degeneration (MP:0005405), 		Proximity to PEX19 associated with Neonatal adrenoleukodystrophy (ORPHA:44): Seizure (HP:0001250)-Seizure (HP:0001250), Primary adrenal insufficiency (HP:0008207)-Primary adrenal insufficiency (HP:0008207), Neurodegeneration (HP:0002180)-Optic atrophy (HP:0000648), 		
CASK	8573	0.5814	0.9886	0.8623	0.5814	0.3525	0.0000	0.0000	0.5814	1.0000	0	Early infantile epileptic encephalopathy (ORPHA:1934): Seizure (HP:0001250)-Atonic seizure (HP:0010819), Primary adrenal insufficiency (HP:0008207)-Precocious puberty (HP:0000826), Neurodegeneration (HP:0002180)-Diffuse cerebral atrophy (HP:0002506), Abnormality of the cerebral white matter (HP:0002500)-Diffuse white matter abnormalities (HP:0007204), 	Mental deterioration (HP:0001268)-hunched posture (MP:0001505), Abnormality of the cerebral white matter (HP:0002500)-microcephaly (MP:0000433), 				
HTR2C	3358	0.6607	0.8947	0.8577	0.0000	0.6607	0.0000	0.5010	0.6607	1.0000	0		Mental deterioration (HP:0001268)-impaired behavioral response to xenobiotic (MP:0009747), Seizure (HP:0001250)-sporadic seizures (MP:0000951), 		Proximity to GNAS associated with ACTH-independent macronodular adrenal hyperplasia (OMIM:219080): Mental deterioration (HP:0001268)-Mental deterioration (HP:0001268), Psychosis (HP:0000709)-Psychosis (HP:0000709), Primary adrenal insufficiency (HP:0008207)-Macronodular adrenal hyperplasia (HP:0008231), 	Proximity to GNAS Mental deterioration (HP:0001268)-abnormal posture (MP:0001504), Abnormality of the cerebral white matter (HP:0002500)-abnormal cerebellar cortex morphology (MP:0004097), 	
CACNA1F	778	0.5035	0.9926	0.7431	0.0000	0.2692	0.0000	0.5035	0.5035	1.0000	0		Neurodegeneration (HP:0002180)-retinal photoreceptor degeneration (MP:0008450), 		Proximity to CACNA1G associated with Spinocerebellar ataxia type 42 (ORPHA:458803): Neurodegeneration (HP:0002180)-Atrophy/Degeneration affecting the brainstem (HP:0007366), Abnormality of the cerebral white matter (HP:0002500)-Hyperintensity of cerebral white matter on MRI (HP:0030890), 	Proximity to CACNA1G Mental deterioration (HP:0001268)-abnormal gait (MP:0001406), Neurodegeneration (HP:0002180)-neurodegeneration (MP:0002229), Abnormality of the cerebral white matter (HP:0002500)-abnormal cerebellar cortex morphology (MP:0004097), 	
GPR101	83550	0.5000	0.9943	0.7390	0.2881	0.0000	0.0000	0.5000	0.5000	1.0000	0	Acromegaly (ORPHA:963): Primary adrenal insufficiency (HP:0008207)-Anterior hypopituitarism (HP:0000830), 			Proximity to GAL associated with ?Epilepsy, familial temporal lobe, 8 (OMIM:616461): Seizure (HP:0001250)-Focal impaired awareness seizure (HP:0002384), 	Proximity to GAL Mental deterioration (HP:0001268)-abnormal object recognition memory (MP:0001458), Seizure (HP:0001250)-seizures (MP:0002064), Primary adrenal insufficiency (HP:0008207)-abnormal gland physiology (MP:0002164), Abnormality of the cerebral white matter (HP:0002500)-abnormal hippocampus morphology (MP:0000807), 	
MXRA5	25878	0.5007	0.9921	0.7366	0.0000	0.0000	0.0000	0.5007	0.5007	1.0000	0				Proximity to PRKAR1A associated with Pigmented nodular adrenocortical disease, primary, 1 (OMIM:610489): Mental deterioration (HP:0001268)-Mental deterioration (HP:0001268), Psychosis (HP:0000709)-Psychosis (HP:0000709), Primary adrenal insufficiency (HP:0008207)-Pigmented micronodular adrenocortical disease (HP:0001580), 		
BCORL1	63035	0.5010	0.9908	0.7347	0.4208	0.0000	0.0000	0.5010	0.5010	1.0000	0	Shukla-Vernon syndrome (OMIM:301029): Seizure (HP:0001250)-Seizure (HP:0001250), Neurodegeneration (HP:0002180)-Cerebellar atrophy (HP:0001272), 			Proximity to HDAC4 associated with 2q37 microdeletion syndrome (ORPHA:1001): Seizure (HP:0001250)-Seizure (HP:0001250), Primary adrenal insufficiency (HP:0008207)-Supernumerary nipple (HP:0002558), 	Proximity to HDAC4 Mental deterioration (HP:0001268)-increased thermal nociceptive threshold (MP:0001973), Seizure (HP:0001250)-convulsive seizures (MP:0000947), 	
ARHGAP36	158763	0.5015	0.9888	0.7321	0.0000	0.0000	0.0000	0.5015	0.5015	1.0000	0					Proximity to ITSN1 Mental deterioration (HP:0001268)-abnormal spatial learning (MP:0001463), Abnormality of the cerebral white matter (HP:0002500)-abnormal anterior commissure morphology (MP:0008225), 	
ENOX2	10495	0.5000	0.9851	0.7224	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0					Proximity to PLXNA4 Abnormality of the cerebral white matter (HP:0002500)-abnormal anterior commissure morphology (MP:0008225), 	
KIF4A	24137	0.5030	0.9797	0.7187	0.3748	0.0000	0.0000	0.5030	0.5030	1.0000	0	?Mental retardation, X-linked 100 (OMIM:300923): Seizure (HP:0001250)-Seizure (HP:0001250), 				Proximity to POLB Primary adrenal insufficiency (HP:0008207)-adrenal gland hypoplasia (MP:0000640), Abnormality of the cerebral white matter (HP:0002500)-abnormal brain internal capsule morphology (MP:0008128), 	
