ILS_S_1_A	ILS_S_2_B	ILS_S_3_C	ILS_S_3_H	ISS_S_1_A	ISS_S_2_B	ISS_S_3_F
ENSMUSG00000000001	486	364	474	683	881	660	865
ENSMUSG00000000003	0	0	0	0	0	0	0
ENSMUSG00000000028	18	15	19	26	26	21	21
ENSMUSG00000000031	5	1	6	6	11	13	20
ENSMUSG00000000037	28	15	28	50	54	42	49
ENSMUSG00000000049	4	2	2	3	6	7	5
ENSMUSG00000000056	658	501	523	910	1198	691	1235
ENSMUSG00000000058	453	336	400	593	530	344	498
ENSMUSG00000000078	1013	848	815	1233	2264	1601	2117
ENSMUSG00000000085	409	302	384	524	803	537	805
ENSMUSG00000000088	317	243	254	324	710	328	443
ENSMUSG00000000093	17	19	23	26	42	27	33
ENSMUSG00000000094	4	8	4	5	4	1	5
ENSMUSG00000000103	0	0	0	0	0	0	0
ENSMUSG00000000120	46	65	54	58	101	98	101
ENSMUSG00000000125	77	69	64	86	192	113	135
ENSMUSG00000000126	99	58	94	127	295	122	187
ENSMUSG00000000127	293	249	275	442	567	386	655
ENSMUSG00000000131	784	548	698	949	1437	950	1460
ENSMUSG00000000134	316	292	289	419	618	480	648
ENSMUSG00000000142	247	206	246	337	523	380	535
ENSMUSG00000000148	117	95	108	164	295	142	216
ENSMUSG00000000149	381	247	372	522	945	571	757
ENSMUSG00000000154	1	0	3	4	5	4	4
ENSMUSG00000000157	1	1	0	1	0	0	0
ENSMUSG00000000159	9	9	6	11	12	13	15
ENSMUSG00000000167	36	31	41	50	87	69	86
ENSMUSG00000000168	1273	918	1145	1700	2271	1327	2066
ENSMUSG00000000171	692	477	568	870	1143	767	1113
ENSMUSG00000000182	4	7	9	7	21	22	26
ENSMUSG00000000183	0	0	0	0	0	0	0
ENSMUSG00000000184	597	418	530	778	1618	966	1699
ENSMUSG00000000194	536	407	521	722	1106	640	1029
ENSMUSG00000000197	1657	955	1369	2169	3052	1681	2960
ENSMUSG00000000202	104	105	71	122	235	147	183
ENSMUSG00000000204	0	2	1	3	0	1	0
ENSMUSG00000000214	68	60	67	83	173	80	117
ENSMUSG00000000215	1	0	0	1	2	2	1
ENSMUSG00000000216	0	2	1	3	7	5	6
ENSMUSG00000000223	1592	1261	1286	2087	2869	1943	2860
ENSMUSG00000000244	1	0	2	3	2	1	3
ENSMUSG00000000247	387	293	263	438	840	496	632
ENSMUSG00000000248	0	0	0	0	1	1	0
ENSMUSG00000000253	239	211	228	302	654	344	425
ENSMUSG00000000263	89	63	102	134	152	115	197
ENSMUSG00000000266	539	401	457	655	997	648	994
ENSMUSG00000000275	101	59	74	98	169	103	176
ENSMUSG00000000276	1455	914	1355	2065	3462	1888	2730
ENSMUSG00000000278	160	150	134	178	372	274	350
ENSMUSG00000000282	423	325	317	472	855	537	706
ENSMUSG00000000290	37	28	21	39	51	39	52
ENSMUSG00000000295	91	77	83	163	189	126	187
ENSMUSG00000000296	206	209	207	322	448	309	384
ENSMUSG00000000301	8	5	8	19	38	11	21
ENSMUSG00000000303	31	25	31	66	106	64	70
ENSMUSG00000000305	299	214	287	339	607	327	435
ENSMUSG00000000308	3271	3243	3093	4561	7225	4988	6120
ENSMUSG00000000317	17	17	16	24	37	14	41
ENSMUSG00000000318	5	6	2	10	11	4	10
ENSMUSG00000000320	4	6	5	8	21	13	13
ENSMUSG00000000325	272	172	206	344	600	306	472
ENSMUSG00000000326	792	670	627	987	1686	1168	1541
ENSMUSG00000000339	565	504	487	688	944	818	1064
ENSMUSG00000000340	201	213	209	340	507	311	564
ENSMUSG00000000346	1195	948	985	1530	2877	1621	1933
ENSMUSG00000000355	445	410	349	586	771	587	724
ENSMUSG00000000359	5	1	7	6	3	4	9
ENSMUSG00000000365	15	12	8	24	20	20	36
ENSMUSG00000000374	822	467	596	855	1759	872	1470
ENSMUSG00000000378	301	207	275	467	697	388	534
ENSMUSG00000000381	0	0	0	0	0	0	0
ENSMUSG00000000384	133	92	114	141	256	126	214
ENSMUSG00000000385	0	2	1	1	1	0	0
ENSMUSG00000000386	8	1	5	9	14	12	5
ENSMUSG00000000392	54	48	36	74	75	84	97
