#GENE_SYMBOL	ENTREZ_GENE_ID	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	EXOMISER_GENE_COMBINED_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
CASK	8573	0.8229	0.9886	0.9872	0.7043	0.8229	0.0000	0.0000	0.8229	1.0000	0	Mental retardation and microcephaly with pontine and cerebellar hypoplasia (OMIM:300749): Intellectual disability (HP:0001249)-Intellectual disability, moderate (HP:0002342), Short stature (HP:0004322)-Short stature (HP:0004322), Microcephaly (HP:0000252)-Progressive microcephaly (HP:0000253), Macrotia (HP:0000400)-Macrotia (HP:0000400), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Epicanthus (HP:0000286), Macrodontia (HP:0001572)-Micrognathia (HP:0000347), 	Intellectual disability (HP:0001249)-hunched posture (MP:0001505), Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), Microcephaly (HP:0000252)-microcephaly (MP:0000433), Triangular face (HP:0000325)-pointed snout (MP:0000448), Hypertelorism (HP:0000316)-delayed eyelid opening (MP:0001290), Long palpebral fissure (HP:0000637)-delayed eyelid opening (MP:0001290), Macrodontia (HP:0001572)-abnormal maxilla morphology (MP:0000455), 				
GPR101	83550	0.6443	0.9943	0.9270	0.6443	0.0000	0.0000	0.5000	0.6443	1.0000	0	Acromegaly (ORPHA:963): Short stature (HP:0004322)-Tall stature (HP:0000098), Macrotia (HP:0000400)-Macrotia (HP:0000400), Long palpebral fissure (HP:0000637)-Palpebral edema (HP:0100540), Macrodontia (HP:0001572)-Widely spaced teeth (HP:0000687), 				Proximity to LPAR1 Short stature (HP:0004322)-decreased body height (MP:0001255), Triangular face (HP:0000325)-short snout (MP:0000445), Hypertelorism (HP:0000316)-ocular hypertelorism (MP:0001300), Long palpebral fissure (HP:0000637)-ocular hypertelorism (MP:0001300), Macrodontia (HP:0001572)-long incisors (MP:0004831), 	
FMR1	2332	0.6277	1.0000	0.9184	0.6277	0.4338	0.0000	0.5166	0.6277	1.0000	0	Fragile X syndrome (OMIM:300624): Intellectual disability (HP:0001249)-Intellectual disability, moderate (HP:0002342), Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), Macrotia (HP:0000400)-Macrotia (HP:0000400), Macrodontia (HP:0001572)-Mandibular prognathia (HP:0000303), 	Intellectual disability (HP:0001249)-abnormal spatial learning (MP:0001463), Hypertelorism (HP:0000316)-decreased b wave amplitude (MP:0012144), Long palpebral fissure (HP:0000637)-decreased b wave amplitude (MP:0012144), 		Proximity to ZNF81 associated with X-linked non-syndromic intellectual disability (ORPHA:777): Intellectual disability (HP:0001249)-Intellectual disability, profound (HP:0002187), Short stature (HP:0004322)-Small for gestational age (HP:0001518), Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), Long palpebral fissure (HP:0000637)-Long palpebral fissure (HP:0000637), Macrodontia (HP:0001572)-Delayed eruption of teeth (HP:0000684), 		
CACNA1F	778	0.5038	0.9926	0.7436	0.1551	0.4546	0.0000	0.5038	0.5038	1.0000	0	Congenital stationary night blindness (ORPHA:215): Microcephaly (HP:0000252)-Optic disc hypoplasia (HP:0007766), 	Hypertelorism (HP:0000316)-abnormal eye physiology (MP:0005253), Long palpebral fissure (HP:0000637)-abnormal eye physiology (MP:0005253), 		Proximity to CACNA1G associated with Spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits (OMIM:618087): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Macrotia (HP:0000400)-Anteverted ears (HP:0040080), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Narrow palpebral fissure (HP:0045025), Macrodontia (HP:0001572)-Mandibular prognathia (HP:0000303), 	Proximity to CACNA1G Intellectual disability (HP:0001249)-abnormal gait (MP:0001406), Microcephaly (HP:0000252)-abnormal cerebellar cortex morphology (MP:0004097), 	
MXRA5	25878	0.5006	0.9921	0.7363	0.0000	0.0000	0.0000	0.5006	0.5006	1.0000	0				Proximity to PRKAR1A associated with Acrodysostosis (ORPHA:950): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), Short stature (HP:0004322)-Short stature (HP:0004322), Microcephaly (HP:0000252)-Brachycephaly (HP:0000248), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Epicanthus (HP:0000286), Macrodontia (HP:0001572)-Open bite (HP:0010807), 	Proximity to PRKAR1A Short stature (HP:0004322)-embryonic growth retardation (MP:0003984), 	
ARHGAP36	158763	0.5020	0.9888	0.7332	0.0000	0.0000	0.0000	0.5020	0.5020	1.0000	0				Proximity to FGD1 associated with Mental retardation, X-linked syndromic 16 (OMIM:305400): Intellectual disability (HP:0001249)-Intellectual disability, mild (HP:0001256), Short stature (HP:0004322)-Short stature (HP:0004322), Macrotia (HP:0000400)-Large earlobe (HP:0009748), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Ptosis (HP:0000508), Macrodontia (HP:0001572)-Hypodontia (HP:0000668), 	Proximity to FGD1 Short stature (HP:0004322)-embryonic growth retardation (MP:0003984), Hypertelorism (HP:0000316)-microphthalmia (MP:0001297), Long palpebral fissure (HP:0000637)-microphthalmia (MP:0001297), 	
HTR2C	3358	0.5008	0.8947	0.5336	0.0000	0.3759	0.0000	0.5008	0.5008	1.0000	0		Intellectual disability (HP:0001249)-enhanced behavioral response to xenobiotic (MP:0009746), Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), 		Proximity to GNAS associated with McCune-Albright syndrome (ORPHA:562): Short stature (HP:0004322)-Tall stature (HP:0000098), Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), Macrodontia (HP:0001572)-Carious teeth (HP:0000670), 	Proximity to GNAS Intellectual disability (HP:0001249)-abnormal posture (MP:0001504), Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), Microcephaly (HP:0000252)-abnormal cerebellar cortex morphology (MP:0004097), Macrotia (HP:0000400)-abnormal outer ear morphology (MP:0002177), 	
BCORL1	63035	0.2501	0.9908	0.1695	0.4705	0.0000	0.0000	0.5001	0.5001	0.5000	0	Shukla-Vernon syndrome (OMIM:301029): Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Downslanted palpebral fissures (HP:0000494), 			Proximity to ANKRD11 associated with KBG syndrome (OMIM:148050): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), Short stature (HP:0004322)-Short stature (HP:0004322), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Triangular face (HP:0000325)-Triangular face (HP:0000325), Macrotia (HP:0000400)-Macrotia (HP:0000400), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Long palpebral fissure (HP:0000637), Macrodontia (HP:0001572)-Macrodontia (HP:0001572), 	Proximity to ANKRD11 Microcephaly (HP:0000252)-increased cranium width (MP:0000441), Triangular face (HP:0000325)-broad face (MP:0030069), Macrodontia (HP:0001572)-abnormal nasal bone morphology (MP:0000102), 	
KIF4A	24137	0.2541	0.9797	0.1612	0.3223	0.0000	0.0000	0.5082	0.5082	0.5000	0	?Mental retardation, X-linked 100 (OMIM:300923): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), 			Proximity to CIT associated with Microcephaly 17, primary, autosomal recessive (OMIM:617090): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), Short stature (HP:0004322)-Short stature (HP:0004322), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Macrotia (HP:0000400)-Macrotia (HP:0000400), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), 	Proximity to CIT Intellectual disability (HP:0001249)-increased susceptibility to pharmacologically induced seizures (MP:0002906), Microcephaly (HP:0000252)-abnormal cerebral hemisphere morphology (MP:0008540), 	
CT47B1	643311	0.0000	0.9964	0.0157	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0						
TSPAN6	7105	0.0000	0.9964	0.0157	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0						
